City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Villarrica,PY,-25.75,-56.4333,74.12,57,0,4.54,clear sky
200,Klaksvik,FO,62.2266,-6.589,52.72,85,95,28.54,overcast clouds
201,Nikolskoye,RU,59.7035,30.7861,45.88,90,100,7.74,light rain
202,Kulhudhuffushi,MV,6.6221,73.07,81.43,73,84,12.71,broken clouds
203,Esmeraldas,BR,-19.7625,-44.3139,75.51,91,90,5.95,overcast clouds
204,Tessalit,ML,20.1986,1.0114,84.2,16,37,9.44,scattered clouds
205,Kaitangata,NZ,-46.2817,169.8464,55.72,86,100,1.07,overcast clouds
206,Gerash,IR,27.6652,54.1371,59.14,26,0,1.5,clear sky
207,Newport,GB,51.5877,-2.9984,59.86,91,100,15.05,overcast clouds
208,Boueni,YT,-12.9025,45.0761,78.78,81,5,8.75,light rain
209,Enkoping,SE,59.6361,17.0777,45.37,87,1,10.2,clear sky
210,Puerto Quijarro,BO,-17.7833,-57.7667,79.72,53,83,1.74,broken clouds
211,Yining,CN,29.0361,114.5636,61.11,84,100,1.07,overcast clouds
212,Jaisalmer,IN,26.9147,70.9181,75.2,28,0,5.64,clear sky
213,Changying,CN,52.8733,123.3213,30.72,93,84,5.28,broken clouds
214,Manzhouli,CN,49.6,117.4333,33.19,77,0,8.52,clear sky
215,Wilmington,US,34.2257,-77.9447,73.0,55,0,1.01,clear sky
216,Labuhan,ID,-6.8844,112.2051,79.02,82,100,8.7,overcast clouds
217,Lompoc,US,34.6391,-120.4579,74.7,55,1,18.41,clear sky
218,Saldanha,ZA,-33.0117,17.9442,66.52,61,46,9.71,scattered clouds
219,Walvis Bay,NA,-22.9575,14.5053,60.1,82,3,3.44,clear sky
220,Ayan,RU,56.45,138.1667,36.5,98,100,12.37,light rain
221,Kurumkan,RU,54.3,110.3,29.53,79,21,3.71,few clouds
222,Rosario,AR,-32.9468,-60.6393,93.11,33,0,4.0,clear sky
223,Haimen,CN,23.1935,116.6142,69.69,82,100,15.39,overcast clouds
224,Aykino,RU,62.2248,49.9922,25.75,96,100,5.17,overcast clouds
