City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Canelones,UY,2021-10-20 21:31:16,-34.6444,-56.2886,68.02,64,0,17.27
228,Waipawa,NZ,2021-10-20 21:31:17,-41.4122,175.5153,55.29,64,100,6.29
229,Nyurba,RU,2021-10-20 21:31:17,63.2842,118.3319,31.03,96,100,7.74
230,Lata,PT,2021-10-20 21:31:18,40.1629,-8.3327,62.82,98,18,1.12
231,Suzaka,JP,2021-10-20 21:31:18,36.65,138.3167,44.71,95,70,1.66
232,Te Anau,NZ,2021-10-20 21:31:19,-45.4167,167.7167,45.57,77,74,1.57
233,Bambous Virieux,MU,2021-10-20 21:31:19,-20.3428,57.7575,74.21,78,75,8.05
234,Turukhansk,RU,2021-10-20 21:26:26,65.8167,87.9833,35.13,99,100,7.81
235,Atambua,ID,2021-10-20 21:31:21,-9.1061,124.8925,76.53,81,92,0.65
236,Narsaq,GL,2021-10-20 21:31:21,60.9167,-46.05,28.62,37,0,3.87
237,Peleduy,RU,2021-10-20 21:31:21,59.6289,112.7406,36.09,98,100,8.99
238,Solnechnyy,RU,2021-10-20 21:31:22,50.7214,136.6319,21.33,84,16,3.56
239,Marsh Harbour,BS,2021-10-20 21:31:22,26.5412,-77.0636,79.48,59,85,16.44
240,Abu Samrah,SY,2021-10-20 21:31:23,35.3029,37.1841,63.55,66,0,5.44
241,Havoysund,NO,2021-10-20 21:31:23,70.9963,24.6622,27.48,63,100,27.89
242,Lumphat,KH,2021-10-20 21:31:24,13.4878,106.9816,71.51,99,100,1.16
243,Pevek,RU,2021-10-20 21:31:24,69.7008,170.3133,18.59,92,100,13.91
244,Kaitangata,NZ,2021-10-20 21:31:25,-46.2817,169.8464,50.47,56,100,4.45
245,Sistranda,NO,2021-10-20 21:31:25,63.7256,8.834,46.9,65,100,33.62
246,Oussouye,SN,2021-10-20 21:31:26,12.485,-16.5469,84.29,77,71,7.47
247,Merauke,ID,2021-10-20 21:31:26,-8.4667,140.3333,80.08,78,77,7.27
248,Libreville,GA,2021-10-20 21:28:05,0.3925,9.4537,80.62,83,20,6.91
249,Nome,US,2021-10-20 21:31:27,64.5011,-165.4064,35.67,87,90,6.91
250,Kochi,IN,2021-10-20 21:26:51,9.9399,76.2602,75.18,95,100,7.25
251,Xiuyan,CN,2021-10-20 21:31:28,40.2928,123.2744,37.18,69,47,2.33
252,Kostryzhivka,UA,2021-10-20 21:31:28,48.6545,25.7132,56.28,60,99,5.53
253,Klaksvik,FO,2021-10-20 21:31:29,62.2266,-6.589,41.92,66,78,36.13
254,Okhotsk,RU,2021-10-20 21:31:29,59.3833,143.3,12.47,67,97,8.43
255,Itarema,BR,2021-10-20 21:31:29,-2.9248,-39.9167,80.26,78,100,10.96
256,Zhangjiakou,CN,2021-10-20 21:31:30,40.81,114.8794,35.64,39,0,5.7
257,Saint George,US,2021-10-20 21:30:22,37.1041,-113.5841,71.55,28,1,3.0
258,Mastic Beach,US,2021-10-20 21:31:31,40.7668,-72.8521,76.12,59,1,1.01
259,Antofagasta,CL,2021-10-20 21:31:31,-23.65,-70.4,61.88,71,11,7.27
260,Longyearbyen,SJ,2021-10-20 21:31:31,78.2186,15.6401,12.04,67,0,8.05
261,Kaduqli,SD,2021-10-20 21:31:32,11.0167,29.7167,79.41,62,94,7.31
262,Banepa,NP,2021-10-20 21:31:32,27.6298,85.5214,62.92,94,75,3.44
263,Portland,US,2021-10-20 21:30:52,45.5234,-122.6762,63.63,71,90,3.0
264,Chapais,CA,2021-10-20 21:31:33,49.7834,-74.8492,38.98,97,100,7.67
265,San Javier,ES,2021-10-20 21:31:34,37.8063,-0.8374,68.23,80,0,5.75
266,Rio Gallegos,AR,2021-10-20 21:31:34,-51.6226,-69.2181,59.05,20,75,9.22
267,Rongcheng,CN,2021-10-20 21:31:34,30.634,117.8517,49.73,95,100,2.35
268,Nhulunbuy,AU,2021-10-20 21:31:35,-12.2333,136.7667,79.41,89,40,5.75
269,Samarai,PG,2021-10-20 21:31:35,-10.6167,150.6667,82.33,77,86,7.27
270,Teahupoo,PF,2021-10-20 21:31:36,-17.8333,-149.2667,75.16,79,94,11.41
271,Bengkulu,ID,2021-10-20 21:31:36,-3.8004,102.2655,74.41,89,95,4.85
272,Riverton,US,2021-10-20 21:31:37,40.5219,-111.9391,65.88,39,1,1.01
273,Tiznit,MA,2021-10-20 21:31:37,29.5833,-9.5,72.97,33,53,3.76
